nama_perusahaan,produk_utama,total_aset,penjualan_rata_pertahun,jumlash_tenaga_kerja,tahun_survey,Alamat
Warung Pertigaan,Kopi Kue,205,84,2,2017,Jawa Timur
Pedagang Muncang,Muncang,210,620,7,2013,Jawa Timur
Martabak Pak Kumis,Martabak Dan Terang Bulan,115,120,6,2012,Jawa Timur
Bakso,Bakso,143,144,1,2012,Jawa Timur
Martabak Bangka 99,Martabak,5,144,2,2012,Jawa Timur
Roti Bakar Bandung dan Fried Chicken,Roti,161,262,1,2012,Jawa Timur
Ayam Panggang,Ayam Bakar,74,240,3,2012,Jawa Timur
Warkop Daglung,Kopi,42,47,1,2012,Jawa Timur
TAPE,Tape,50,60,2,2012,Jawa Timur
Bakso Reoni 4 Rasa,Bakso,60,288,1,2012,Jawa Timur
Prasojo 2,"Ayam Bakar 
dan Ikan Bakar",17,48,1,2016,Jawa Timur
Rm. Pecel Madiun,Makanan,740,1980,40,2016,Jawa Timur
Warung Makan,Makanan,9,54,4,2012,Jawa Timur
Toko Tiara,Jajanan Magetan,120,96,2,2012,Jawa Timur
Bakso Cak Man,Bakso dan Minuman,219,582,13,2010,Jawa Timur
Warung AJG,Nasi,31,147,3,2010,Jawa Timur
Milan Fish,Udang Vanami,29,810,5,2010,Jawa Timur
UD Sugeng Rawuh,Pedagang Krecek,176,178,2,2010,Jawa Timur
"Panggang Ayam Bu
Endang",Ayam Panggang,140,792,4,2009,Jawa Timur
Sate Joker,Sate Kambing,93,608,6,2009,Jawa Timur
Lalapan Ikan Segar Ayshira,"Lalapan Ikan Segar 
Laut dan Tawar",34,18,10,2009,Jawa Timur
Depot Ayam Bakar Bu Sugeng,Ayam Bakar ,125,348,5,2008,Jawa Timur
Smile Bread,Ayam Goreng Crispy,20,114,4,2008,Jawa Timur
Warung Mbak Laukah,Makanan dan Minuman,10,160,2,2008,Jawa Timur
Trijaya Roti,Roti Bolu,31,24,1,2012,Jawa Timur
Perusahaan Krecek Kulit,Krecek Kulit,846,36,0,2012,Jawa Timur
Tempe Kedelai Dimah,Tempe Kedelai,83,181,5,2012,Jawa Timur
Jajanan Pasar Mujiono,Jajanan Pasar,26,54,0,2012,Jawa Timur
Genteng Karya Abadi,Genteng,97,120,4,2012,Jawa Timur
Genteng Parto Abadi,Genteng,28,42,0,2012,Jawa Timur
Batu Bata Suwanto,Batu Bara,40,30,0,2012,Jawa Timur
Batu Bata Sadino,Batu Bara,135,23,0,2012,Jawa Timur
Batu Bata Sumi,Batu Bara,79,19,0,2012,Jawa Timur
Batubata,Batu Bata,114,20,0,2012,Jawa Timur
Bengkel Las Ikang,Bengkel Las,173,120,1,2012,Jawa Timur
Industri Batu Bata Sugiyono,Batu Bata,6,96,2,2012,Jawa Timur
Perusahaan Krupuk Puli Sariye,Krupuk Puli,31,240,1,2012,Jawa Timur
"Perusahaan Krupuk Uyel Dan 
Rambak ATS",Krupuk Uyel,265,876,13,2012,Jawa Timur
Perusahaan Krupuk Puli Sugiyanto,Krupuk Puli,15,252,2,2012,Jawa Timur
Kripik Tempe,Keripik Tempe,94,1,1,2012,Jawa Timur
Krupuk Rusmanto,Kerupuk,257,108,4,2012,Jawa Timur
Bintang Lestari,Soon,232,600,3,2012,Jawa Timur
Tempe Sukini,Tempe,49,180,1,2012,Jawa Timur
Kripik Tempe Dewanti,Kripik Tempe,91,36,1,2012,Jawa Timur
Roti Bolu,Roti Bolu,112,270,3,2012,Jawa Timur
